Question Type,Reference,Question,Answer
INT,9:15,Since a death has occured that redeems them from what?,The transgressions committed under the first covenant
INT,9:15,The transgressions committed where?,Under the first covenant
INT,9:16,"Where a will is involved, the death of the one who made it must be what?",Established
INT,9:16,What must be established?,The death of the one who made it
INT,9:17,A will takes effect when?,Only at death
INT,9:17,"A will takes effect only at death, why?",Since is is not in force as long as the one who made it is alive.
INT,9:17,What is inot in force?,A will
INT,9:17,Who is alive?,The one who made it
INT,9:18,What was inaugurated without blood?,Not even the first covenant
INT,9:19,With water and scarlet wool and what?,Hyssop
INT,9:19,Scarlet what?,Wool
INT,9:19,Which wool?,Scarlet
MA,9:19,What and hyssop?,Water and scarlet wool
MA,9:19,Sprinkled both the book itself and all the people how?,With water and scarlet wool and hyssop
INT,9:19,Sprinkled both the book itself and what?,All the people
INT,9:19,Sprinkled both the book itself and all the people when?,When every commandment of the law had been declared by Moses to all the people
INT,9:20,What that God commanded for you?,This is the blood of the covenant
INT,9:21,All the vessels used how?,In worship
INT,9:22,"Indeed, under the law almost everything is what?",Purified with blood
INT,9:22,"Under the law almost everything is purified with blood, and what?",Without the shedding of blood there is no forgiveness of sins
INT,9:23,What purified with these rites?,Copies of the heavenly things
INT,9:23,"Purified with these rites, but the heavenly things themselves with what?",Better sacrifices than these
INT,9:26,Would have had to suffer how?,Repeatedly
INT,9:26,Would have had to suffer repeatedly since when?,The foundation of the world
INT,9:26,The end of the ages to put awat sin how?,By the sacrifice of himself
INT,9:27,What for man to die once?,It is appointed
INT,9:27,"Appointed for man to die once, and after that comes what?",Judgment
INT,9:28,Those who are eagerly waiting for who?,Christ
INT,9:28,What those who are eagerly waiting for him?,To save
QT,10:12,Quote Hebrews 10:12,"But when Christ had offered for all time a single sacrifice for sins, he sat down at the right hand of God,"
QT,10:13,Quote Hebrews 10:13,waiting from that time until his enemies should be made a footstool for his feet.
QT,10:14,Quote Hebrews 10:14,For by a single offering he has perfected for all time those who are being sanctified.
FTV,10:12,But when Christ had offered ,"for all time a single sacrifice for sins, he sat down at the right hand of God,"
FTV,10:13,waiting from that time until,his enemies should be made a footstool for his feet.
FTV,10:14,For by a single offering,he has perfected for all time those who are being sanctified.
INT,10:1,Things to come instead of what?,The true form of these realities
INT,10:1,The true form of what?,These realities
INT,10:1,What of these realities?,The true form
INT,10:1,What things to come instead of the true form of these realities?,A shadow of the good
INT,10:1,"Instead of the true form of these realities, it can never what?",Make perfect those who draw near
INT,10:2,"Otherwise, would they not have what??",Ceased to be offered
INT,10:2,Ceased to be what?,Offered
INT,10:2,Ceased to be offered why?,Since the worshipers would no longer have any consciousness of sins
INT,10:2,"Who, having once been cleansed?",The worshipers
INT,10:2,"The worshipers, having once been cleansed, would no longer have what?",Any consciousness of sins
INT,10:3,There is a reminder of sins every year how?,In these sacrifices
INT,10:7,In the scroll of what?,The book
INT,10:7,What of the book?,The scroll
INT,10:9,"Then he added, what?","Behold, I have come to do your will."
INT,10:14,He has perfected for all time those who are being sanctified how?,By a single offering
INT,10:14,He has perfected for what?,All time
INT,10:14,He has perfected for all time who?,Those who are being sanctified
INT,10:17,"Then he adds, what?",I will remember their sins and their lawless deeds no more
MA,10:17,"Then he adds, I will remember what?",Their sins and their lawless deeds
INT,10:17,Which deeds?,Their lawless
INT,10:17,Their lawless what?,Deeds
INT,10:17,What and their lawless deeds no more?,I will remember their sins
INT,10:22,What sprinkled clean from an evil conscience?,Our hearts
INT,10:22,Hearts sprinkled clean from an evil conscience and what?,Our bodies washed with pure water
INT,10:22,Our bodies washed how?,With pure water
INT,10:22,Pure what?,Water
INT,10:22,What with pure water?,Washed
INT,10:23,What without wavering?,Hold fast to the confession of our hope
INT,10:23,"Without wavering, why?",For he who promised is faithful
INT,10:23,"Without wavering, for he who promised is what?",Faithful
MA,10:24,How to stir up one another to what?,Love and good works
INT,10:25,Not neglecting to what?,Meet together
INT,10:25,Meet how?,Together
INT,10:25,What together?,Meet
INT,10:25,"Not neglecting to meet together, as is the habit of some, but what?",Encouraging one another
INT,10:25,Encouraging one another how?,All the more as you see the Day drawing near
INT,10:25,The Day drawing what?,Near
INT,10:26,If we go on sinning how?,Deliberately
INT,10:26,If we go on sinning deliberately when?,After receiving the knowledge of the truth
INT,10:26,After receiving the knowledge of what?,The truth
INT,10:27,But a fearful expectation of what?,Judgement
INT,10:27,A fury of what?,Fire
INT,10:27,A fury of fire that will what?,Consume the adversaries
INT,10:27,What that will consume the adversaries?,A fury of fire
INT,10:27,A fury of fire that will consume who?,The adversaries
INT,10:28,Anyone who has what?,Set aside the law of Moses
INT,10:28,Anyone who has set aside the law of Moses what?,Dies without mercy
INT,10:28,Who dies without mercy on the evidence of two or three witnesses?,Anyone who has set aside the law of Moses
INT,10:28,Anyone who has set aside the law of Moses dies how?,Without mercy
INT,10:28,Dies without mercy how?,On the evidence of two or three witnesses
MA,10:28,Dies without mercy on the evidence of whom?,Two or three witnesses
INT,10:29,How much worse what?,Punishment
INT,10:29,Which punishment?,Worse punishment
INT,10:29,"How much worse punishment, do you think, will be deserved by who?",The one who has trampled underfoot the son of God
INT,10:29,The one who has trampled how?,Underfoot
INT,10:29,The one who has trampled underfoot who?,The Son of God
MA,10:29,"The one who has trampled underfoot the Son of God, and has what?","Profaned the blood of the covenant by which he was sanctified, and has outraged the Spirit of grace"
INT,10:29,And has profaned what?,The blood of the covenant
INT,10:29,And has profaned the blood of the covenant by what?,Which he was sanctified
INT,10:29,And has outraged whom?,The Spirit of grace
INT,10:30,What is mine?,Vengance
INT,10:30,Vengance is mine; what?,I will repay
INT,10:30,"What, I will repay?",Vengance is mine
INT,10:30,"""Vengance is mine; I will repay."" And again, what?","""The Lord will judge his people."""
INT,10:31,It is a fearful thing to what?,Fall into the hands of the living God
INT,10:31,It is a fearful thing to fall into the hands of whom?,The living God
INT,10:32,But recall what?,The former days
INT,10:32,"What, a hard struggle with sufferings?",You endured
INT,10:32,"What, with sufferings?",A hard struggle
MA,10:33,Sometimes being publicly exposed to what?,Reproach and affliction
INT,10:33,What and affliction?,Reproach
INT,10:33,And sometimes being partners with whom?,Those so treated
INT,10:33,"What, with those so treated?",Being partners
INT,10:34,For you had compassion on those where?,In prison
INT,10:34,You joyfully what?,Accepted the plundering of your property
INT,10:34,You joyfully accepted what?,The plundering of your property
INT,10:34,The plundering of what?,Your property
INT,10:34,"You joyfully accepted the plundering of your property, why?",Since you knew that you yourselves had a better possession and an abiding one
INT,10:34,Since you knew what?,That you yourselves had a better possession
INT,10:34,A better possession and what?,An abiding one
INT,10:35,Therefore do not throw away what?,Your confidence
INT,10:35,"Therefore do not throw away your confidence, which has what?",A great reward
INT,10:36,When you have done what?,The will of God
INT,10:36,"When you have done the will of God, you may what?",Receive what is promised
INT,10:37,Who will not delay?,The coming one
INT,10:38,"If he shrinks back, what?",My soul has no pleasure in him
INT,10:39,Those who shrink back and are what?,Destroyed
INT,10:39,What and are destroyed?,Those who shrink back
INT,10:39,Who preserve their souls?,Those who have faith
INT,10:39,Have faith and preserve what?,Their souls
QT,11:1,Quote Hebrews 11:1,"Now faith is the assurance of things hoped for, the conviction of things not seen."
QT,11:2,Quote Hebrews 11:2,For by it the people of old received their commendation.
QT,11:3,Quote Hebrews 11:3,"By faith we understand that the universe was created by the word of God, so that what is seen was not made out of things that are visible."
FTV,11:1,Now faith is the assurance ,"of things hoped for, the conviction of things not seen."
FTV,11:2,For by it the people,of old received their commendation.
FTV,11:3,By faith we understand that,"the universe was created by the word of God, so that what is seen was not made out of things that are visible."
INT,11:1,"The assurance of things hoped for, what?",The conviction of things not seen
INT,11:1,What of things hoped for?,The assurance
INT,11:1,The conviction of what?,Things not seen
INT,11:2,Who received their commendation?,The people of old
INT,11:2,Received their commendation how?,By it (faith)
INT,11:3,By faith we understand what?,That the universe was created by the word of God
INT,11:3,We understand that the universe was created by the word of God how?,By faith
INT,11:4,"More acceptable sacrifice than Cain, through which he was what?",Commended as righteous
INT,11:4,God commending him how?,By accepting his gifts
INT,11:4,What by accepting his gifts?,God commending him
INT,11:5,By faith Enoch was what?,Taken up so that he should not see death
INT,11:5,Enoch was taken up how?,By faith
INT,11:5,What as having pleased God?,He was commended
INT,11:6,It is impossible to please him how?,Without faith
MA,11:6,"It is impossible to please him, for whoever would draw near to God must what?",Believe that he exists and that he rewards those who seek him
MA,11:6,Must believe that he what?,Exists and that he rewards those who seek him
INT,11:6,He rewards those who what?,Seek him
INT,11:6,He exists and that he what?,Rewards those who seek him
INT,11:7,"By faith Noah, being warned how?",By God
INT,11:7,What as yet unseen?,Events
INT,11:7,Warned by God concerning events as yet what?,Unseen
INT,11:7,Who in reverent fear constructed an ark?,Noah
INT,11:7,Constructed an ark for the saving of his household how?,In reverent fear / In faith
INT,11:7,In reverent fear constructed an ark why?,For the saving of his household
INT,11:7,By this he condemned what?,The world
INT,11:7,By this he condemned the world and became what?,An heir of the righteousness that comes by faith
INT,11:8,By faith Abraham obeyed when?,When he was called to go out to a place that he was to receive as an inheritance.
INT,11:8,Who obeyed when he was called to go out to a place that he was to receive as an inheritance?,Abraham
INT,11:8,No knowing what?,Where he was going
INT,11:8,What where he was going?,Not knowing
MA,11:9,Living in tents with whom?,Isaac and Jacob
INT,11:9,What in tents with Isaac and Jacob?,Living
INT,11:10,For he was looking forward to what?,The city that has foundations
INT,11:10,"The city that has foundations, whose what?",Designer and builder is God
INT,11:10,Whose designer and builder is whom?,God
INT,11:10,"What, whose designer and builder is God?",The city that has foundations
INT,11:10,"Who was looking forward to the city that has foundations, whose designer and builder is God?",Abraham
INT,11:11,By faith Sarah herself what?,Received power to conceive
INT,11:11,Sarah herself received power to conceive how?,By faith
INT,11:11,"Sarah herself received power to conceive, even what?",When she was past the age
INT,11:11,"Even when she was passed the age, why?",Since she considered him faithful who had promised.
INT,11:12,As many as the stars of what?,Heaven
INT,11:12,The innumerable grains of sand where?,By the seashore
INT,11:12,The innumerable what?,Grains of sand by the seashore
INT,11:12,What by the seashore?,The innumerable grains of sand
INT,11:13,Greeted them from where?,Afar
MA,11:13,Having acknowledged that they were what?,Strangers and exiles on the earth
INT,11:13,Exiles on what?,The earth
INT,11:14,They are seeking what?,A homeland
INT,11:15,If they had been thinking of what?,That land from which they had gone out
INT,11:15,They would have had opportunity to what?,Return
INT,11:16,Which country,A better / A heavenly one
INT,11:16,"They desire a better country, that is what?",A heavenly one
INT,11:17,"Abraham, when he was tested, what?",Offered up Issac
INT,11:19,"From which, figuratively speaking, he what?",Did receive him back
INT,11:20,By faith Isaac invoked what?,Future blessings on Jacob and Esau
MA,11:20,By faith Isaac invoked future blessings on whom?,Jacob and Esau
INT,11:20,Which blessings?,Future
INT,11:20,"Isaac invoked future blessings on Jacob and Esau, how?",By faith
INT,11:21,"By faith Jacob, when dying, what?",Blessed each of the sons of Joseph
INT,11:21,Bowing in worship how?,Over the head of his staff
INT,11:21,Bowing in worship over the head of what?,His staff
INT,11:22,Who made mention of the exodus of the Israelites?,Joseph
INT,11:22,The exodus of whom?,The Israelites
INT,11:22,Made mention of the exodus of the Israelites and what?,Gave directions concerning his bones
INT,11:22,What concerning his bones?,Directions
INT,11:23,Hidden for three months by whom?,His parents
INT,11:23,Hidden for three months by his parents why?,Because they saw the child was beautiful
INT,11:23,Who's edict?,The king's
INT,11:23,Not afraid of the king's what?,Edict
INT,11:24,"Moses, when he was grown up, what?",Refused to be called the son of Pharaoh's daughter
INT,11:24,"Moses, when he was grown up, refused to be called the son of Pharaoh's daughter how?",By faith
INT,11:25,Choosing rather to be what?,Mistreated with the people of God
INT,11:25,Choosing rather to be mistreated with the people of God than to what?,Enjoy the fleeting pleasures of sin
INT,11:25,Enjoy the fleeting pleasures of what?,Sin
INT,11:25,Which pleasures of sin?,The fleeting
INT,11:26,Greater wealth than what?,The treasures of Egypt
INT,11:26,What greater wealth than the treasures of Egypt?,The reproach of Christ
INT,11:27,The anger of whom?,The king
INT,11:27,What as seeing him who is invisible?,He endured
INT,11:27,He endured as seeing him who is what?,Invisible
INT,11:28,He kept the Passover how?,By faith
INT,11:28,By faith he kept the Passover and what?,Sprinkled the blood
INT,11:28,"By faith he kept the Passover and sprinkled the blood, why?",So that the Destroyer of the firstborn might not touch them
INT,11:28,The Destroyer of what?,The firstborn
INT,11:28,Who might not touch them?,The Destroyer of the firstborn
INT,11:29,Who crossed the Red Sea as on dry land?,The people
INT,11:29,The people crossed the Red Sea as on dry land how?,By faith
INT,11:29,Which Sea?,The Red
INT,11:29,Crossed the Red Sea as on what?,Dry land
INT,11:29,"But the Egyptians, when they attempted to what?",Do the same
INT,11:29,"But the Egyptians, when they attempted to do the same, were what?",Drowned
INT,11:29,Who were drowned?,The Egyptians
INT,11:30,By faith the walls of Jericho what?,Fell down
INT,11:30,The walls of Jericho fell down when?,After they had been encircled for seven days
INT,11:30,The walls of Jericho fell down how?,By faith
INT,11:30,They had been encircled how?,For seven days
INT,11:30,Encircled for seven what?,Days
INT,11:31,By faith Rahab who?,The prostitute
INT,11:31,By faith Rahab the prostitute did not what?,Perish with those who were disobedient
INT,11:31,Rahab the prostitute did not perish how?,By faith
INT,11:31,She had given a friendly welcome to whom?,The spies
INT,11:31,Which welcome to the spies?,A friendly
INT,11:31,Who had given a friendly welcome to the spies?,Rahab the prostitute
MA,11:32,For time would fail me to tell of whom?,"Gideon, Barak, Samson, Jepthah, of David and Samuel and the prophets"
INT,11:32,Of David and Samuel and whom?,The prophets
INT,11:33,Through faith conquered what?,Kingdoms
INT,11:33,Enforced what?,Justice
INT,11:33,Stopped what?,The mouths of lions
INT,11:33,Stopped the mouths of what?,Lions
INT,11:34,Quenched what?,The power of fire
INT,11:34,Escaped what?,The edge of the sword
INT,11:34,The edge of what?,The sword
INT,11:34,Became mighty where?,In war
INT,11:34,Put foreign armies to what?,Flight
INT,11:34,What to flight?,Foreign armies
INT,11:35,Women received back what?,Their dead
INT,11:35,Women received back their dead how?,By resurrection
INT,11:35,Some were tortured why?,So that they might rise again to a better life
INT,11:35,"Some were tortured, refusing to what?",Accept release
INT,11:35,That they might rise again to what?,A better life
MA,11:36,Others suffered what?,Mocking and flogging
INT,11:36,Others suffered mocking and what?,Flogging
MA,11:36,"Others suffered mocking and flogging, and even what?",Chains and imprisonment
INT,11:36,Even chains and what?,Imprisonment
INT,11:37,"They were sawn in two, they were what?",Killed with the sword
INT,11:37,They were killed how?,With the sword
MA,11:37,They went about in skins of what?,Sheep and goats
INT,11:37,"Destitute, afflicted, what?",Mistreated
MA,11:38,Wandering about where?,"In deserts and mountains, and in dens and caves of the earth"
MA,11:38,"Wandering about in deserts and mountains, and where?",In dens and caves of the earth
INT,11:38,In dens and caves of what?,The earth
INT,11:38,What in deserts and mountains?,Wandering about
INT,11:40,Who had provided something better for us?,God
INT,11:40,That apart from us they what?,Should not be made perfect
QT,12:1,Quote Hebrews 12:1,"Therefore, since we are surrounded by so great a cloud of witnesses, let us also lay aside every weight, and sin which clings so closely, and let us run with endurance the race that is set before us,"
QT,12:2,Quote Hebrews 12:2,"looking to Jesus, the founder and perfecter of our faith, who for the joy that was set before him endured the cross, despising the  shame, and is seated at the right hand of the throne of God."
FTV,12:1,"Therefore, since we are surrounded ","by so great a cloud of witnesses, let us also lay aside every weight, and sin which clings so closely, and let us run with endurance the race that is set before us,"
FTV,12:2,"looking to Jesus, the founder ","and perfecter of our faith, who for the joy that was set before him endured the cross, despising the shame, and is seated at the right hand of the throne of God."
INT,12:1,"Therefore, since we are surrounded by what?",So great a cloud of witnesses
INT,12:1,So great a cloud of what?,Witnesses
MA,12:1,Let us also lay aside what?,Every weight and sin which clings so closely
INT,12:1,"What, which clings so closely?",Sin
INT,12:1,What every weight and sin which clings so closely?,Let us lay aside
INT,12:1,Let us run how?,With endurance
INT,12:1,Let us run with endurance what?,The race that is set before us
INT,12:1,The race that is what?,Set before us
INT,12:1,What clings so closely?,Sin
INT,12:2,"Who, the founder and perfecter of our faith?",Jesus
INT,12:2,What and perfecter of our faith?,The founder
INT,12:2,"Jesus, the founder and perfecter of our faith, who for the joy that was set before him what?",Endured the cross
INT,12:2,"Endured the cross, despising what?",The shame
INT,12:2,What the shame?,Despising
INT,12:2,"Endured the cross, despising the shame, and is what?",Seated at the right hand of the throne of God
INT,12:3,Endured from sinners such hostility against whom?,Himself
INT,12:3,"Endured from sinners such hostility against himself, why?",So that you may not grow weary or fainthearted
INT,12:3,You may not grow weary or what?,Fainthearted
INT,12:3,What or fainthearted?,Weary
INT,12:4,You have not yet resisted how?,To the point of shedding your blood
INT,12:4,You have not yet resisted to the point of shedding your blood where?,In you struggle against sin
INT,12:5,And have you forgotten what?,The exhoration that addresses you as sons
INT,12:5,Have you forgotten the exhortation that what?,Addresses you as sons
INT,12:5,The exhortation that addresses you as what?,Sons
INT,12:5,"My son, do not regard lightly what?",The discipline of the Lord
INT,12:5,Nor be weary when reproved by whom?,The Lord
INT,12:6,He loves and chastises whom?,Every son whom he receives
INT,12:6,And chastises every son whom he what?,Receives
INT,12:7,God is treating you how?,As sons
INT,12:8,Then you are illegitimate what?,Children
INT,12:8,Then you are illegitimate children and not what?,Sons
INT,12:9,"Besides this, we have had what?",Earthly fathers who disciplined us
INT,12:10,What for a short time as it seemed best to them?,They disciplined us
INT,12:10,They disciplined us for a short time how?,As it seemed best to them
INT,12:11,For the moment all discipline seems what?,Painful
INT,12:11,All discipline seems painful rather than what?,Pleasant
INT,12:11,What rather than pleasant?,Painful
INT,12:11,"For the moment all discipline seems painful rather than pleasant, but later it what?",Yields the peaceful fruit of righteousness to those who have been trained by it
INT,12:11,It yields the peaceful fruit of what?,Righteousness
INT,12:11,What yields the peaceful fruit of righteousness?,All discipline
INT,12:12,Therefore lift your what?,Drooping hands
INT,12:12,Lift your drooping hands and strengthen what?,Your weak knees
INT,12:12,Strengthen your weak what?,Knees
INT,12:13,Make straight paths for what?,Your feet
INT,12:13,"Make straight paths for your feet, why?",So that what is lame may not be put out of joint but rather be healed
INT,12:13,That what is lame may not be what?,Put out of joint
INT,12:13,What is lame may not be put out of joint but rather what?,Be healed
INT,12:15,That no one fails to obtain what?,The grace of God
MA,12:15,That no root of bitterness what?,Springs up and causes trouble
INT,12:15,Springs up and causes what?,Trouble
INT,12:16,Sexually immoral or unholy like whom?,Esau
INT,12:16,"Unholy like Esau, who what?",Sold his birthright for a single meal
INT,12:16,Sold his birthright for what?,A single meal
INT,12:16,Who sold his birthright for a single meal?,Esau
INT,12:17,"He was rejected, when?","Afterward, when he desired to inherit the blessing"
INT,12:17,He found no chance to what?,Repent
INT,12:17,"He found no chance to repent, though he what?",Sought it with tears
INT,12:17,Though he sought it how?,With tears
MA,12:18,A blazing fire and darkness and what?,Gloom and a tempest
INT,12:19,And the sound of a what?,Trumpet
INT,12:19,What made the hearers beg that no further messages be spoken to them?,A voice whose words
INT,12:19,No further messages be what?,Spoken to them
INT,12:20,They could not endure what?,The order that was given
INT,12:20,If even a beast what?,Touches the mountain
INT,12:20,"If even a beast touches the mountain, what?",It shall be stoned
INT,12:21,"So terrifying was the sight that Moses said, what?",I tremble with fear
INT,12:21,"Moses said, ""I tremble"" how?",With fear
INT,12:22,Which Mount?,Zion
INT,12:22,"What, the heavenly Jerusalem?",The city of the living God
INT,12:22,What in festal gathering?,Innumerable angels
INT,12:23,And to the assembly of whom?,The firstborn who are enrolled in heaven
INT,12:23,The assembly of the firstborn who are enrolled where?,In heaven
INT,12:25,That you do not refuse who?,Him who is speaking
INT,12:25,Do not refuse him who is what?,Speaking
INT,12:25,Much less will we escape if we what?,Reject him who warns from heaven
INT,12:25,If we reject him who warns from where?,Heaven
INT,12:26,His voice shook what?,The earth
MA,12:26,Once more I will shake what?,Not only the earth but also the heavens
INT,12:27,"This phrase, ""Yet once more,"" indicates what?",The removal of things that are shaken
INT,12:27,Indicates the removal of what?,Things that are shaken
INT,12:27,"This phrase, ""Yet once more,"" indicates the removal of things that are shaken, why?",In order that the things that cannot be shaken may remain
INT,12:28,Therefore let us be grateful for what?,Receiving a kingdom that cannot be shaken
INT,12:28,"What, with reverence and awe?",Let us offer to God acceptable worship
INT,12:29,Who is a consuming fire?,Our God
QT,13:20,Quote Hebrews 13:20,"Now may the God of peace who brought again from the dead our Lord Jesus, the great shepherd of the sheep, by the blood of the eternal covenant,"
QT,13:21,Quote Hebrews 13:21,"equip you with everything good that you may do his will, working in us that which is pleasing in his sight, through Jesus Christ, to whom be glory forever and ever. Amen."
FTV,13:20,Now may the God of ,"peace who brought again from the dead our Lord Jesus, the great shepherd of the sheep, by the blood of the eternal covenant,"
FTV,13:21,equip you with everything good ,"that you may do his will, working in us that which is pleasing in his sight, through Jesus Christ, to whom be glory forever and ever. Amen."
INT,13:1,Let brotherly love what?,Continue
INT,13:2,Show hospitality to whom?,Strangers
INT,13:2,For thereby some have entertained whom?,Angels
INT,13:2,Thereby some have entertained angels how?,Unawares
INT,13:4,What be held in honor among all?,Marriage
INT,13:4,Let the marriage bed be what?,Undefiled
INT,13:4,"Let the marriage bed be undefiled, why?",For God will judge the sexually immoral and adulterous
INT,13:5,Keep your life freer from what?,Love of money
INT,13:5,And be content with what?,What you have
INT,13:5,"Be content with what you have, why?","For he has said, ""I will never leave you nor forsake you."""
MA,13:6,"So we can confidently say, what?","""The Lord is my helper; I will not fear; what can man do to me?"""
INT,13:6,The Lord is my helper; I will not what?,Fear
INT,13:7,Consider the outcome of what?,Their way of life
INT,13:7,Imitate what?,Their faith
INT,13:8,Who is the same yesterday and today and forever?,Jesus Christ
MA,13:8,The same yesterday and when?,Today and forever
MA,13:9,Which teachings?,Diverse and strange
INT,13:9,Led away by diverse and strange what?,Teachings
INT,13:9,"What to be strengthened by grace, not by foods?",The heart
INT,13:9,The heart to be strengthened by what?,Grace
INT,13:9,"Not by foods, which have not what?",Benefited those devoted to them
INT,13:9,Have not benefited those devoted to what?,Foods
INT,13:11,The bodies of those animals whose blood is what?,Brought into the holy places by the high priest
INT,13:11,The bodies of those animals whose blood is brought into the holy places by the high priest as a sacrifice for sin are burned where?,Outside the camp
INT,13:12,Also suffered outside the gate why?,In order to sanctify the people through his own blood
INT,13:14,For here we have no what?,City
INT,13:14,"For here we have no lasting city, but we what?",Seek the city that is to come
INT,13:15,The fruit of lips that acknowledge what?,His name
INT,13:15,What of lips that acknowledge his name?,The fruit
INT,13:17,Submit to whom?,Your leaders
INT,13:17,"Submit to them, why?",For they are keeping watch over your souls
INT,13:17,"They are keeping watch over your souls, as whom?",Those who will have to give an account
INT,13:18,Desiring to act how?,Honorably
INT,13:18,Desiring to act honorably how?,In all things
INT,13:19,I urge you how?,The more earnestly
INT,13:19,I urge you the more earnestly to do this why?,In order that I may be restored to you the sooner
INT,13:19,I may be restored to you when?,The sooner
INT,13:20,The great shepherd of what?,The sheep
INT,13:20-21,Equip you with everything good how?,By the blood of the eternal covenant
INT,13:20,"The great shepherd of the sheep, by the blood of what?",The eternal covenant
INT,13:21,Equip you with everything what?,Good
INT,13:21,Equip you with everything good why?,That you may do his will
INT,13:21,Working in us what?,That which is pleasing in his sight
INT,13:21,"Working in us that which is pleasing in his sight, through whom?",Jesus Christ
MA,13:21,"Working in us that which is pleasing in his sight, through Jesus Christ, to whom be glory when?",Forever and ever
INT,13:22,"I appeal to you brothers, what?",Bear with my word of exhortation
INT,13:22,"I appeal to you brothers, bear with my word of exhortation, for I have written to you how?",Briefly
INT,13:23,Our brother Timothy has been what?,Released
INT,13:23,Who has been released?,Our brother Timothy
INT,13:23,What if he comes soon?,I shall see you
MA,13:24,Greet whom?,All your leaders and all the saints
INT,13:24,Those who come from Italy what?,Send you greetings
INT,13:24,Who send you greetings?,Those who come from Italy
INT,13:24-25,Those who come from Italy send you greetings. Grace be with whom?,All of you
